"id","delivery_person_id","deliverypersonage","deliverypersonratings","restaurant_latitude","restaurant_longitude","delivery_location_latitude","delivery_location_longitude","order_date","weather","road_traffic_density","vehicle_condition","type_of_order","type_of_vehicle","multiple_deliveries","festival","city","name","time_ordered","time_order_picked"
"0x1df3",JAPRES20DEL03,28.000000,2.700000,26.956431,75.776649,27.046431,75.866649,2022-03-04,Sunny,Low,1,Meal,scooter,1.000000,false,Metropolitian,object,22:10:00,22:20:00
"0xa65",PUNERES03DEL02,31.000000,4.700000,18.554382,73.798206,18.604382,73.848206,2022-03-09,Cloudy,Jam,0,Buffet,motorcycle,1.000000,false,Metropolitian,object,21:55:00,22:00:00
"0x8b83",BANGRES13DEL03,37.000000,4.500000,12.935662,77.614130,12.995662,77.674130,2022-04-01,Sunny,Jam,0,Drinks,motorcycle,1.000000,false,Urban,object,20:20:00,20:25:00
"0x5b95",HYDRES12DEL03,38.000000,4.600000,17.429585,78.392621,17.459585,78.422621,2022-03-17,Sandstorms,Medium,2,Meal,scooter,0.000000,false,Urban,object,18:35:00,18:45:00
"0xaa43",COIMBRES05DEL02,30.000000,5.000000,11.022169,76.999594,11.042169,77.019594,2022-03-05,Stormy,High,2,Meal,scooter,0.000000,false,Urban,object,12:00:00,12:15:00
"0x9995",HYDRES18DEL03,22.000000,4.800000,17.450851,78.379347,17.510851,78.439347,2022-03-19,Fog,Jam,0,Snack,motorcycle,1.000000,false,Metropolitian,object,20:30:00,20:40:00
"0x1018",INDORES20DEL02,38.000000,4.700000,22.732225,75.874765,22.782225,75.924765,2022-03-13,Windy,Jam,0,Drinks,motorcycle,1.000000,false,,object,20:20:00,20:30:00
"0x4af3",HYDRES08DEL03,38.000000,4.600000,17.438263,78.397865,17.468263,78.427865,2022-03-09,Fog,Medium,2,Snack,motorcycle,0.000000,false,,object,19:00:00,19:10:00
"0x87a1",MYSRES03DEL01,29.000000,4.700000,12.299524,76.642620,12.309524,76.652620,2022-04-01,Fog,Low,0,Meal,motorcycle,0.000000,false,Metropolitian,object,08:25:00,08:30:00
"0xb64c",COIMBRES01DEL02,21.000000,4.700000,11.016298,76.972076,11.036298,76.992076,2022-03-30,Cloudy,Low,2,Snack,scooter,0.000000,false,Urban,object,09:55:00,10:00:00
"0x4b7e",COIMBRES17DEL02,20.000000,5.000000,11.026117,76.944652,11.156117,77.074652,2022-03-08,Windy,Low,1,Buffet,scooter,0.000000,false,Metropolitian,object,00:00:00,00:15:00
"0x252d",SURRES03DEL01,22.000000,4.300000,21.186884,72.793616,21.196884,72.803616,2022-03-24,Windy,Low,0,Drinks,motorcycle,1.000000,false,Urban,object,09:35:00,09:40:00
"0x368e",SURRES11DEL02,23.000000,4.700000,21.157735,72.768778,21.177735,72.788778,2022-03-05,Sunny,Low,1,Meal,scooter,1.000000,false,Urban,object,08:25:00,08:30:00
"0xe09",CHENRES08DEL03,29.000000,4.700000,13.022394,80.242439,13.052394,80.272439,2022-03-07,Stormy,Jam,1,Meal,scooter,0.000000,false,Metropolitian,object,19:15:00,19:20:00
"0x39aa",RANCHIRES09DEL02,36.000000,4.700000,23.351058,85.325731,23.431058,85.405731,2022-03-10,Sandstorms,Jam,2,Snack,electric_scooter,1.000000,false,Urban,object,19:15:00,19:30:00
"0xb542",RANCHIRES19DEL02,39.000000,3.800000,23.333017,85.317200,23.463017,85.447200,2022-03-16,Windy,Medium,2,Meal,motorcycle,0.000000,false,Metropolitian,object,18:20:00,18:35:00
"0x7604",JAPRES02DEL02,20.000000,4.600000,26.914142,75.805704,26.964142,75.855704,2022-04-01,Fog,Medium,1,Meal,motorcycle,1.000000,false,Urban,object,18:35:00,18:40:00
"0x597c",COIMBRES12DEL02,31.000000,4.100000,11.000762,76.981876,11.130762,77.111876,2022-03-14,Sandstorms,Medium,0,Buffet,motorcycle,2.000000,false,Metropolitian,object,19:00:00,19:05:00
"0x184f",COIMBRES05DEL01,39.000000,4.700000,11.022169,76.999594,11.032169,77.009594,2022-04-05,Sunny,Low,2,Snack,scooter,1.000000,false,Urban,object,08:55:00,09:10:00
"0x9442",HYDRES09DEL01,26.000000,4.700000,17.431668,78.408321,17.471668,78.448321,2022-04-05,Windy,High,0,Snack,motorcycle,1.000000,false,Metropolitian,object,14:55:00,15:10:00
"0x84e",SURRES04DEL02,20.000000,4.800000,21.173493,72.801953,21.193493,72.821953,2022-04-03,Stormy,High,2,Drinks,motorcycle,1.000000,false,Metropolitian,object,11:20:00,11:35:00
"0xa6ba",HYDRES01DEL03,35.000000,4.700000,17.410371,78.437225,17.440371,78.467225,2022-03-09,Cloudy,Jam,1,Buffet,scooter,1.000000,false,Metropolitian,object,19:45:00,20:00:00
"0xb66b",INDORES01DEL03,26.000000,4.900000,22.695207,75.866059,22.755207,75.926059,2022-03-11,Windy,Jam,1,Drinks,motorcycle,1.000000,false,,object,19:25:00,19:35:00
"0x9bb",VADRES16DEL01,23.00,4.40,0.00,0.00,0.01,0.01,2022-03-24,Windy,Low,0,Snack,motorcycle,0.00,false,Metropolitian,object,10:20:00,10:30:00
"0x8d9a",CHENRES09DEL03,30.000000,5.000000,13.044694,80.261470,13.134694,80.351470,2022-04-04,Sandstorms,Low,1,Buffet,motorcycle,0.000000,false,Metropolitian,object,00:00:00,00:10:00
"0x869f",MYSRES13DEL01,30.000000,4.400000,12.310972,76.659264,12.380972,76.729264,2022-03-02,Windy,Medium,0,Meal,motorcycle,1.000000,false,Metropolitian,object,18:50:00,18:55:00
"0xc587",LUDHRES12DEL01,39.000000,4.100000,30.893244,75.821817,30.903244,75.831817,2022-02-11,Windy,High,0,Buffet,motorcycle,3.000000,false,Metropolitian,object,11:10:00,11:15:00
"0x3167",COIMBRES02DEL02,23.000000,4.600000,11.022477,76.995667,11.152477,77.125667,2022-03-18,Sandstorms,Jam,2,Buffet,motorcycle,0.000000,false,Metropolitian,object,20:15:00,20:30:00
"0x4981",CHENRES02DEL03,35.000000,4.700000,13.086438,80.220672,13.146439,80.280672,2022-03-05,Sunny,Jam,0,Buffet,motorcycle,1.000000,false,Urban,object,20:20:00,20:30:00
"0x4c83",COIMBRES05DEL03,27.000000,4.400000,11.022169,76.999594,11.052169,77.029594,2022-03-03,Windy,Low,0,Meal,motorcycle,1.000000,false,Urban,object,22:35:00,22:40:00
"0x2493",CHENRES03DEL01,28.000000,5.000000,13.091809,80.219104,13.201809,80.329104,2022-03-23,Windy,Low,2,Meal,motorcycle,0.000000,false,Metropolitian,object,22:35:00,22:40:00
"0x21a5",INDORES01DEL02,33.000000,4.800000,22.695207,75.866059,22.745207,75.916059,2022-03-07,Sunny,Medium,2,Buffet,motorcycle,1.000000,false,Metropolitian,object,17:25:00,17:40:00
"0x5571",MYSRES02DEL02,21.000000,4.800000,12.304569,76.643622,12.354569,76.693622,2022-04-03,Windy,Low,2,Drinks,motorcycle,0.000000,false,Urban,object,22:50:00,23:05:00
"0x45b1",PUNERES13DEL03,34.000000,4.400000,18.562450,73.916619,18.592450,73.946619,2022-03-24,Cloudy,Jam,2,Snack,scooter,1.000000,false,Metropolitian,object,19:45:00,20:00:00
"0xb1f0",JAPRES12DEL03,28.000000,4.600000,26.902908,75.792934,27.042908,75.932934,2022-03-08,Cloudy,Low,1,Snack,motorcycle,1.000000,false,Metropolitian,object,22:45:00,23:00:00
"0x75d9",CHENRES06DEL03,27.000000,4.700000,13.054347,80.257221,13.114347,80.317221,2022-03-26,Windy,Jam,0,Drinks,motorcycle,1.000000,false,Urban,object,20:10:00,20:15:00
"0x46dd",VADRES06DEL01,36.000000,4.900000,22.312790,73.170283,22.382790,73.240283,2022-03-20,Sunny,Medium,0,Drinks,motorcycle,0.000000,false,Metropolitian,object,18:00:00,18:10:00
"0xc002",AGRRES03DEL03,,,-27.160832,-78.011608,27.220832,78.071608,2022-02-11,,,3,Meal,electric_scooter,1.000000,false,Urban,object,,18:25:00
"0x95e5",BANGRES15DEL02,36.000000,4.100000,12.975377,77.696664,12.995377,77.716664,2022-03-03,Windy,Low,0,Drinks,motorcycle,1.000000,false,Metropolitian,object,08:50:00,09:00:00
"0x1c1f",VADRES14DEL02,24.000000,4.800000,22.311603,73.165012,22.441603,73.295012,2022-03-20,Windy,Low,0,Meal,motorcycle,0.000000,false,Metropolitian,object,23:00:00,23:10:00
"0x45bd",BANGRES05DEL03,23.000000,4.900000,12.970324,77.645748,13.060324,77.735748,2022-03-04,Windy,Low,0,Buffet,motorcycle,0.000000,false,Metropolitian,object,23:15:00,23:20:00
"0xb986",MYSRES04DEL02,20.000000,4.500000,12.308500,76.665808,12.438500,76.795808,2022-04-04,Fog,Low,1,Snack,motorcycle,1.000000,false,Metropolitian,object,23:00:00,23:05:00
"0x1761",INDORES18DEL02,26.000000,4.800000,22.753839,75.897429,22.833838,75.977429,2022-03-10,Fog,Jam,0,Snack,motorcycle,3.000000,false,Metropolitian,object,19:35:00,19:40:00
"0xb84c",MYSRES16DEL03,33.000000,4.100000,12.316967,76.603067,12.346967,76.633067,2022-04-05,Stormy,Low,0,Drinks,motorcycle,1.000000,false,Metropolitian,object,22:35:00,22:50:00
"0x69c3",PUNERES03DEL01,36.000000,4.100000,18.554382,73.798206,18.594382,73.838206,2022-03-21,Windy,Medium,0,Buffet,motorcycle,1.000000,false,Metropolitian,object,16:10:00,16:25:00
"0xd68c",LUDHRES010DEL03,39.000000,4.900000,30.892860,75.822199,30.982860,75.912199,2022-02-12,Fog,Jam,0,Buffet,motorcycle,1.000000,false,Urban,object,19:55:00,20:05:00
"0xd05f",DEHRES02DEL01,30.00,4.70,0.00,0.00,0.11,0.11,2022-02-14,Cloudy,Jam,0,Snack,motorcycle,2.00,false,Metropolitian,object,21:55:00,22:00:00
"0xb5f0",RANCHIRES06DEL01,37.000000,4.500000,23.357804,85.325146,23.367804,85.335146,2022-04-05,Sandstorms,Low,2,Drinks,scooter,1.000000,false,Metropolitian,object,10:30:00,10:40:00
"0x69a8",INDORES07DEL01,30.000000,4.600000,22.722634,75.886959,22.762634,75.926959,2022-04-05,Fog,High,1,Snack,scooter,1.000000,false,Urban,object,14:20:00,14:30:00
"0xc9c5",BHPRES17DEL01,28.000000,4.100000,23.218998,77.373573,23.288998,77.443573,2022-02-16,Fog,Medium,2,Drinks,scooter,1.000000,false,Metropolitian,object,17:30:00,17:35:00
"0x478e",JAPRES07DEL02,23.000000,4.800000,26.766536,75.837333,26.896536,75.967333,2022-03-23,Cloudy,Low,1,Snack,motorcycle,1.000000,false,Urban,object,23:20:00,23:30:00
"0x12dd",MUMRES09DEL01,37.000000,5.000000,18.994049,72.825203,19.004049,72.835203,2022-03-07,Sunny,High,0,Snack,motorcycle,1.000000,false,Metropolitian,object,11:55:00,12:00:00
"0x78e3",COIMBRES07DEL01,38.000000,4.800000,10.961850,76.971082,11.001850,77.011082,2022-03-17,Cloudy,Medium,1,Meal,motorcycle,1.000000,false,Metropolitian,object,15:35:00,15:40:00
"0x1661",INDORES15DEL02,25.000000,5.000000,22.760072,75.892574,22.890072,76.022574,2022-04-06,Cloudy,Low,2,Drinks,scooter,1.000000,false,Metropolitian,object,22:45:00,23:00:00
"0xcb17",ALHRES06DEL02,25.00,4.90,0.00,0.00,0.02,0.02,2022-02-17,Sunny,Low,1,Buffet,scooter,0.00,false,Metropolitian,object,10:00:00,10:15:00
"0xdff4",DEHRES19DEL02,32.000000,4.700000,30.372202,78.077151,30.502202,78.207151,2022-02-12,Windy,Low,1,Buffet,scooter,1.000000,false,Urban,object,23:30:00,23:40:00
"0x75c3",PUNERES18DEL01,24.000000,4.500000,18.593481,73.785901,18.703481,73.895901,2022-03-04,Windy,Low,0,Buffet,motorcycle,1.000000,false,Metropolitian,object,22:50:00,23:00:00
"0xceb4",ALHRES16DEL01,26.000000,4.600000,25.450377,81.834236,25.460377,81.844236,2022-02-11,Fog,Low,0,Drinks,motorcycle,1.000000,false,Urban,object,10:40:00,10:45:00
"0x8ae4",INDORES03DEL01,29.000000,4.700000,22.751857,75.866699,22.821857,75.936699,2022-03-10,Sunny,Jam,2,Meal,motorcycle,1.000000,false,Metropolitian,object,20:15:00,20:30:00
"0xdb61",BHPRES12DEL03,35.00,4.80,0.00,0.00,0.09,0.09,2022-02-18,Sunny,Jam,2,Snack,scooter,1.00,false,Metropolitian,object,21:55:00,22:05:00
"0x790",INDORES15DEL03,29.000000,4.900000,22.760072,75.892574,22.850072,75.982574,2022-03-14,Windy,Low,1,Meal,scooter,0.000000,false,Urban,object,22:20:00,22:35:00
"0x8968",BANGRES18DEL02,23.000000,4.600000,12.913041,77.683237,12.933041,77.703237,2022-03-17,Cloudy,High,1,Snack,motorcycle,1.000000,false,Metropolitian,object,11:25:00,11:30:00
"0xa39a",MUMRES06DEL01,35.000000,4.700000,19.055831,72.833984,19.095831,72.873984,2022-03-11,Sunny,Medium,2,Snack,motorcycle,1.000000,false,Urban,object,15:20:00,15:25:00
"0x8826",RANCHIRES04DEL02,37.000000,4.800000,23.359033,85.325347,23.379033,85.345347,2022-03-01,Windy,High,2,Meal,electric_scooter,1.000000,false,Urban,object,11:35:00,11:50:00
"0x4c8c",MYSRES04DEL01,36.000000,4.900000,12.308500,76.665808,12.378500,76.735808,2022-03-29,Sunny,Low,1,Buffet,scooter,1.000000,false,Metropolitian,object,22:50:00,22:55:00
"0x103c",SURRES19DEL03,37.000000,3.900000,21.149669,72.772629,21.239669,72.862629,2022-03-06,Sandstorms,Jam,1,Buffet,scooter,1.000000,false,Metropolitian,object,21:25:00,21:40:00
"0x98a8",MYSRES17DEL02,27.000000,4.900000,12.326356,76.619103,12.346356,76.639103,2022-04-03,Sandstorms,Low,1,Drinks,scooter,0.000000,false,Urban,object,08:10:00,08:20:00
"0xb338",PUNERES14DEL03,34.000000,4.600000,18.516216,73.842527,18.546216,73.872527,2022-04-05,Windy,Jam,2,Buffet,scooter,0.000000,false,Metropolitian,object,22:00:00,22:15:00
"0x366d",BANGRES05DEL03,24.000000,4.500000,12.970324,77.645748,13.030324,77.705748,2022-03-05,Fog,Medium,1,Drinks,motorcycle,1.000000,false,Metropolitian,object,18:40:00,18:50:00
"0x7d75",CHENRES13DEL02,21.000000,4.900000,13.027018,80.254791,13.077018,80.304791,2022-03-24,Sunny,Medium,2,Drinks,scooter,1.000000,false,Urban,object,18:35:00,18:45:00
"0x6d30",SURRES16DEL03,30.000000,4.200000,21.160437,72.774209,21.250437,72.864209,2022-03-25,Fog,Jam,1,Drinks,motorcycle,1.000000,false,Metropolitian,object,19:25:00,19:40:00
"0x616f",MUMRES07DEL02,,,19.091458,72.827808,19.221458,72.957808,2022-03-25,,,3,Buffet,motorcycle,1.000000,false,Metropolitian,object,,20:05:00
"0x9ee3",INDORES14DEL01,36.000000,4.500000,22.761593,75.886362,22.871593,75.996362,2022-03-18,Windy,Low,0,Drinks,motorcycle,1.000000,false,Urban,object,00:00:00,00:10:00
"0x4d82",JAPRES010DEL01,35.000000,4.800000,26.921411,75.793604,26.991411,75.863604,2022-03-16,Windy,Low,0,Meal,motorcycle,1.000000,false,Metropolitian,object,22:50:00,22:55:00
"0xb757",PUNERES04DEL01,38.000000,4.600000,18.514210,73.838429,18.554210,73.878429,2022-04-05,Fog,Medium,0,Snack,motorcycle,0.000000,false,Urban,object,16:35:00,16:50:00
"0x2e53",COIMBRES09DEL01,23.000000,5.000000,11.008638,76.984311,11.018638,76.994311,2022-04-05,Fog,Low,0,Meal,motorcycle,0.000000,false,Metropolitian,object,10:15:00,10:25:00
"0xd686",ALHRES11DEL03,35.00,4.60,0.00,0.00,0.09,0.09,2022-02-14,Sunny,Medium,1,Drinks,scooter,1.00,false,Metropolitian,object,17:25:00,17:30:00
"0x828d",MYSRES13DEL01,26.000000,4.800000,12.310972,76.659264,12.320972,76.669264,2022-03-19,Windy,Low,1,Buffet,motorcycle,1.000000,false,Urban,object,10:45:00,10:50:00
"0xb9f5",MYSRES17DEL02,24.000000,4.600000,12.326356,76.619103,12.406356,76.699103,2022-03-27,Fog,Low,1,Drinks,motorcycle,1.000000,false,Metropolitian,object,23:00:00,23:10:00
"0x73c4",VADRES07DEL02,31.00,4.90,0.00,0.00,0.05,0.05,2022-03-21,Windy,Jam,0,Drinks,motorcycle,1.00,false,Urban,object,20:25:00,20:40:00
"0xd427",AGRRES07DEL02,31.000000,4.900000,27.160934,78.044095,27.210934,78.094095,2022-02-13,Sunny,Jam,0,Meal,motorcycle,,false,Metropolitian,object,19:20:00,19:35:00
"0xc009",KOLRES03DEL02,,,-22.526461,-88.364453,22.656461,88.494453,2022-02-18,Sandstorms,Jam,0,Snack,motorcycle,1.000000,false,Metropolitian,object,,20:10:00
"0x7030",RANCHIRES03DEL03,26.00,4.70,0.00,0.00,0.09,0.09,2022-04-02,Stormy,Jam,2,Drinks,electric_scooter,0.00,false,Metropolitian,object,19:10:00,19:20:00
"0xc500",AGRRES08DEL02,35.000000,4.900000,27.160934,78.044095,27.180934,78.064095,2022-02-17,Cloudy,Low,0,Meal,motorcycle,1.000000,false,Metropolitian,object,10:40:00,10:55:00
"0xd0f4",LUDHRES01DEL02,24.000000,4.800000,30.873988,75.842739,30.893988,75.862739,2022-02-13,Sandstorms,Low,1,Snack,motorcycle,,false,Urban,object,10:15:00,10:30:00
"0x6e8c",INDORES010DEL02,27.000000,4.600000,22.750040,75.902847,22.800040,75.952847,2022-03-30,Stormy,Jam,1,Buffet,motorcycle,0.000000,false,Metropolitian,object,21:25:00,21:35:00
"0xa1ee",JAPRES20DEL02,36.000000,4.300000,26.956431,75.776649,26.976431,75.796649,2022-03-19,Windy,Low,0,Buffet,motorcycle,1.000000,false,Urban,object,09:55:00,10:00:00
"0x4720",PUNERES07DEL02,26.000000,4.600000,18.546947,73.900626,18.676947,74.030626,2022-03-10,Stormy,Low,2,Buffet,electric_scooter,1.000000,false,Metropolitian,object,23:00:00,23:15:00
"0x5691",VADRES05DEL01,30.000000,4.400000,22.310526,73.170937,22.380526,73.240937,2022-03-08,Sandstorms,Medium,0,Buffet,motorcycle,3.000000,true,Semi-Urban,object,19:00:00,19:05:00
"0xb8f1",MUMRES02DEL03,34.000000,4.000000,19.221315,72.862381,19.281315,72.922381,2022-03-11,Windy,Medium,1,Buffet,motorcycle,1.000000,false,Metropolitian,object,18:50:00,19:00:00
"0xc790",GOARES010DEL02,28.000000,4.000000,15.546594,73.760431,15.676594,73.890431,2022-02-16,Fog,Jam,1,Snack,motorcycle,2.000000,false,Urban,object,21:10:00,21:25:00
"0x3234",INDORES05DEL01,24.000000,4.000000,22.727021,75.884167,22.797021,75.954167,2022-03-02,Sandstorms,Jam,0,Buffet,motorcycle,1.000000,false,Metropolitian,object,19:35:00,19:50:00
"0xb2be",RANCHIRES05DEL02,21.000000,4.900000,23.355164,85.324097,23.485164,85.454097,2022-03-04,Windy,Low,0,Drinks,motorcycle,0.000000,false,Urban,object,22:40:00,22:45:00
"0x7f50",COIMBRES010DEL03,24.000000,4.900000,11.003008,76.975440,11.063009,77.035440,2022-03-13,Sandstorms,Medium,0,Buffet,motorcycle,1.000000,false,Metropolitian,object,17:10:00,17:15:00
"0x6fd1",JAPRES20DEL01,25.000000,4.700000,26.956431,75.776649,27.066431,75.886649,2022-03-02,Windy,Low,1,Meal,motorcycle,0.000000,false,Urban,object,22:25:00,22:40:00
"0x5a8b",SURRES010DEL02,36.000000,4.500000,21.171060,72.789292,21.191060,72.809292,2022-03-11,Sandstorms,High,2,Meal,electric_scooter,1.000000,false,Urban,object,11:30:00,11:45:00
"0x714d",MYSRES09DEL02,37.000000,4.600000,12.323194,76.630583,12.343194,76.650583,2022-03-19,Cloudy,Low,2,Drinks,scooter,,false,Metropolitian,object,10:25:00,10:30:00
"0x4bff",VADRES15DEL03,22.00,4.70,0.00,0.00,0.03,0.03,2022-04-05,Fog,Low,2,Drinks,scooter,1.00,false,Metropolitian,object,00:00:00,00:05:00
"0x9925",RANCHIRES09DEL03,37.000000,4.900000,23.351058,85.325731,23.441058,85.415731,2022-03-31,Sandstorms,Low,1,Buffet,scooter,1.000000,false,Metropolitian,object,22:50:00,23:00:00
"0x6fd6",CHENRES17DEL01,23.000000,4.700000,13.045479,80.233110,13.155479,80.343110,2022-03-16,Stormy,Medium,1,Drinks,motorcycle,1.000000,false,Metropolitian,object,18:25:00,18:40:00
"0x2872",BANGRES04DEL01,29.000000,4.900000,12.980410,77.640489,13.090410,77.750489,2022-03-23,Windy,Jam,1,Buffet,scooter,0.000000,false,Metropolitian,object,21:55:00,22:05:00
"0x66c",COIMBRES20DEL02,,,10.994136,76.963303,11.014136,76.983303,2022-03-05,Windy,High,2,Drinks,electric_scooter,0.000000,false,Urban,object,,11:35:00
"0x90f7",PUNERES010DEL03,31.000000,4.700000,18.539299,73.897902,18.569299,73.927902,2022-03-26,Windy,Jam,1,Drinks,motorcycle,1.000000,false,Metropolitian,object,21:20:00,21:30:00
"0xddd",PUNERES010DEL02,,,18.539299,73.897902,18.669299,74.027902,2022-03-25,Cloudy,Low,2,Drinks,scooter,1.000000,false,Metropolitian,object,,23:35:00
"0x2a29",VADRES05DEL02,39.000000,4.300000,22.310526,73.170937,22.440526,73.300937,2022-04-02,Sandstorms,Jam,0,Buffet,motorcycle,0.000000,false,Metropolitian,object,21:00:00,21:15:00
"0x7eb3",JAPRES17DEL03,22.000000,4.600000,26.892312,75.806896,26.952313,75.866896,2022-03-05,Windy,Jam,2,Snack,scooter,1.000000,false,Metropolitian,object,21:55:00,22:05:00
"0x6d17",JAPRES13DEL03,31.000000,4.800000,26.846156,75.802300,26.906156,75.862300,2022-03-21,Sandstorms,Jam,2,Drinks,scooter,1.000000,false,Metropolitian,object,19:20:00,19:25:00
"0x7134",RANCHIRES01DEL02,24.000000,4.700000,23.416792,85.316842,23.496792,85.396842,2022-03-20,Windy,Medium,1,Drinks,scooter,1.000000,false,Metropolitian,object,18:25:00,18:35:00
"0xa4f0",BANGRES05DEL02,30.000000,4.900000,12.970324,77.645748,13.050324,77.725748,2022-03-04,Sunny,Jam,1,Snack,scooter,1.000000,false,Metropolitian,object,19:40:00,19:45:00
"0x213f",VADRES14DEL03,23.000000,4.100000,22.311603,73.165012,22.371603,73.225012,2022-04-05,Sandstorms,Low,0,Buffet,motorcycle,1.000000,false,Urban,object,23:25:00,23:35:00
"0x70e8",BANGRES04DEL01,36.000000,5.000000,12.980410,77.640489,13.050410,77.710489,2022-03-02,Stormy,Medium,0,Meal,motorcycle,1.000000,false,Metropolitian,object,17:15:00,17:30:00
"0x8556",BANGRES08DEL03,32.000000,4.800000,12.906229,77.596791,12.966229,77.656791,2022-03-11,Fog,Jam,1,Drinks,motorcycle,0.000000,false,Metropolitian,object,21:15:00,21:25:00
"0xaae6",MYSRES20DEL01,30.000000,4.300000,12.337978,76.616792,12.377978,76.656792,2022-03-09,Sandstorms,High,1,Meal,scooter,1.000000,false,Metropolitian,object,14:50:00,14:55:00
"0x9724",PUNERES010DEL02,24.000000,4.600000,18.539299,73.897902,18.619299,73.977902,2022-03-12,Windy,Jam,1,Buffet,motorcycle,0.000000,false,Urban,object,20:50:00,20:55:00
"0x6208",MYSRES14DEL01,25.00,4.70,0.00,0.00,0.04,0.04,2022-04-01,Sandstorms,Medium,2,Meal,electric_scooter,1.00,false,Metropolitian,object,15:10:00,15:20:00
"0x5164",HYDRES14DEL02,26.000000,4.700000,17.426228,78.407495,17.556228,78.537495,2022-04-04,Sunny,Jam,1,Snack,scooter,1.000000,false,Metropolitian,object,21:30:00,21:40:00
